Latitude;Longitude
-23.4204049;-46.38662299999999
-23.420354;-46.3862924
-23.4202607;-46.38597969999999
-23.4201783;-46.3855907
-23.4200735;-46.3846919
-23.4198263;-46.3843226
-23.4197293;-46.3840203
-23.4196479;-46.38363519999999
-23.4195394;-46.3832203
-23.4194292;-46.3825731
-23.4192538;-46.3820097
-23.4190989;-46.3817207
-23.4190203;-46.3814272
-23.4189425;-46.38111330000001
-23.4188537;-46.38068839999999
-23.4187378;-46.3804549
-23.4186731;-46.380353
-23.41864650000001;-46.38006420000001
-23.4185665;-46.37970600000001
-23.4184637;-46.3793378
-23.4183595;-46.3789203
-23.4182393;-46.37864660000001
-23.4181597;-46.3782172
-23.4180376;-46.3778591
-23.4179373;-46.37767949999999
-23.4178884;-46.3773183
-23.4177855;-46.3768749
-23.4176648;-46.37658620000001
-23.4175838;-46.376271
-23.41750100000001;-46.3759072
-23.4174035;-46.3757774
-23.4173673;-46.3754564
-23.4172793;-46.3748694
-23.4171211;-46.3744322
-23.4170045;-46.37401370000001
-23.4168877;-46.3730679
-23.4166384;-46.37259509999999
-23.4165035;-46.37202259999999
-23.4163509;-46.37158199999999
-23.4162397;-46.3713718
-23.4161774;-46.3712355
-23.4161427;-46.370787
-23.4160152;-46.3703386
-23.4158882;-46.37017029999999
-23.4158418;-46.3689743
-23.4155322;-46.36878720000001
-23.4154709;-46.3683254
-23.4153469;-46.3675611
-23.4151267;-46.3669874
-23.4149764;-46.3664441
-23.4148341;-46.3660598
-23.41472320000001;-46.3658677
-23.4146674;-46.3653549
-23.4145251;-46.36528
-23.4145059;-46.3646539
-23.4143546;-46.36447919999999
-23.4143009;-46.3640724
-23.4141792;-46.3637111
-23.41409300000001;-46.363684
-23.4140819;-46.3630147
-23.4138899;-46.3629771
-23.4138805;-46.3627433
-23.4137986;-46.3623733
-23.4136538;-46.3619377
-23.4134813;-46.3618195
-23.4134582;-46.3611367
-23.4132928;-46.3609653
-23.4132513;-46.3609473
-23.4132465;-46.3601948
-23.4130445;-46.360136
-23.4130298;-46.35972370000001
-23.4129176;-46.3593837
-23.4128207;-46.359145
-23.4127496;-46.35896120000001
-23.4126951;-46.3588041
